"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"16","1609","TALA‐O‐BARFAK","تاله و برفک","1609","TALA‐O‐BARFAK","تاله و برفک","NO"
"16","1610","PUL‐I‐HESAR","پل حصار","1610","PUL‐I‐HESAR","پل حصار","NO"
"16","1611","DEHE SALAH","ده صلاح","1611","DEHE SALAH","ده صلاح","NO"
"16","1612","JELGA KHWAJA HEJRAN","جلگه","1612","JELGA KHWAJA HEJRAN","جلگه","NO"
"16","1613","KHOST‐O‐FERENG","خوست و فرنگ","1613","KHOST‐O‐FERENG","خوست و فرنگ","NO"
"16","1614","FRENG‐GHARO","فرنگ وغارو","1614","FRENG‐GHARO","فرنگ وغارو","NO"
"16","1615","GOZAR‐GAHE‐NOOR","گذرگاه نور","1615","GOZAR‐GAHE‐NOOR","گذرگاه نور","NO"
"17","1701"," KUNDUZ","مرکزکندز‐ کندز","1701"," KUNDUZ","مرکزکندز‐ کندز","YES"
"17","1702","IMAM SAHEB","حضرت امام صاحب","1702","IMAM SAHEB","حضرت امام صاحب","NO"
"17","1703","QALA‐I‐ZAL","قلعه ذال","1703","QALA‐I‐ZAL","قلعه ذال","NO"
"17","1704","CHAR DARA","چاردره","1704","CHAR DARA","چاردره","NO"
"17","1705","ALI ABAD","علی آباد","1705","ALI ABAD","علی آباد","NO"
"17","1706","KHAN ABAD","خان آباد","1706","KHAN ABAD","خان آباد","NO"
"17","1707","DASHT‐I‐ARCHI","دشت ارچی","1707","DASHT‐I‐ARCHI","دشت ارچی","NO"
"18","1801"," AIBAK","مرکزسمنگان ‐ ايبک","1801"," AIBAK","مرکزسمنگان ‐ ايبک","YES"
"18","1802","HAZRAT‐E‐SULTAN","حضرت سلطان","1802","HAZRAT‐E‐SULTAN","حضرت سلطان","NO"
"18","1803","FEROZ NAKHCHEER","فيروزنخچير","1803","FEROZ NAKHCHEER","فيروزنخچير","NO"
"18","1804","DARAH‐E‐SUF HULYA","دره صوف بالا","1804","DARAH‐E‐SUF HULYA","دره صوف بالا","NO"
"18","1805","DARAH‐I‐SUF PAYEN","دره صوف پائين","1805","DARAH‐I‐SUF PAYEN","دره صوف پائين","NO"
"18","1806","RAI‐DO‐AB","روی دوآب","1806","RAI‐DO‐AB","روی دوآب","NO"
"18","1807","KHOURAM SAR BAGH","خرم و سارباغ","1807","KHOURAM SAR BAGH","خرم و سارباغ","NO"
"19","1901"," MAZAR SHARIF","مزار شريف","1901"," MAZAR SHARIF","مزار شريف","YES"
"19","1902","DEHDADI","دھدادی","1902","DEHDADI","دھدادی","NO"
"19","1903","NAHR‐E‐SHAHI","نھر شاھی","1903","NAHR‐E‐SHAHI","نھر شاھی","NO"
"19","1904","MARMOL","مارمل","1904","MARMOL","مارمل","NO"
"19","1905","KHOLM","خلم","1905","KHOLM","خلم","NO"
"19","1906","KALDAR","کلدار","1906","KALDAR","کلدار","NO"
"19","1907","SHORTAPA","شورتيپه","1907","SHORTAPA","شورتيپه","NO"
"19","1908","DAWLATABAD","دولت آباد","1908","DAWLATABAD","دولت آباد","NO"
"19","1909","BALKH","بلخ","1909","BALKH","بلخ","NO"
"19","1910","CHARBOLAK","چار بولک","1910","CHARBOLAK","چار بولک","NO"
"19","1911","CHAMTAL","چمتال","1911","CHAMTAL","چمتال","NO"
"19","1912","SHOLGARA","شولگره","1912","SHOLGARA","شولگره","NO"
"19","1913","CHARKENT","چارکنت","1913","CHARKENT","چارکنت","NO"
"19","1914","KOSHENDAH","کشنده","1914","KOSHENDAH","کشنده","NO"
"19","1915","ZAREE","زاری","1915","ZAREE","زاری","NO"
"20","2001"," SHEIRGHAN","مرکزجوزجان ‐ شبرغان","2001"," SHEIRGHAN","مرکزجوزجان ‐ شبرغان","YES"
"20","2002","AQCHAH","آقچه","2002","AQCHAH","آقچه","NO"
"20","2003","FAIZ ABAD","مرکزبدخشان ‐ فيض آباد","2003","FAIZ ABAD","مرکزبدخشان ‐ فيض آباد","NO"
"20","2004","MARDYAN","مرديان","2004","MARDYAN","مرديان","NO"
"20","2005","MANGAJAK","منگجيک","2005","MANGAJAK","منگجيک","NO"
"20","2006","QARQIN","قرقين","2006","QARQIN","قرقين","NO"
"20","2007","KHAMYAB","خمياب","2007","KHAMYAB","خمياب","NO"
"20","2008","QOSHTAPA","قوش تيپه","2008","QOSHTAPA","قوش تيپه","NO"
"20","2009","DARZAB","درزآب","2009","DARZAB","درزآب","NO"
"20","2010","KHWAJA DUKOH","خواجه دوکوه","2010","KHWAJA DUKOH","خواجه دوکوه","NO"
"20","2011","KHANAQA","خانقا","2011","KHANAQA","خانقا","NO"
